i;j;C;gamma;accuracy;time_ms
5.0;5.0;32.0;0.03125;0.4642857142857143;1151.0
10.0;6.0;32768.0;0.125;0.42;16627.0
8.0;3.0;2048.0;0.001953125;0.4742857142857143;2200.0
9.0;5.0;8192.0;0.03125;0.4471428571428571;6688.0
1.0;7.0;0.125;0.5;0.46;1068.0
6.0;2.0;128.0;4.8828125E-4;0.4742857142857143;1063.0
10.0;5.0;32768.0;0.03125;0.4328571428571429;12969.0
1.0;0.0;0.125;3.0517578125E-5;0.46285714285714286;1021.0
4.0;4.0;8.0;0.0078125;0.44142857142857145;742.0
9.0;7.0;8192.0;0.5;0.4042857142857143;7885.0
6.0;1.0;128.0;1.220703125E-4;0.4714285714285714;702.0
7.0;7.0;512.0;0.5;0.43;1945.0
5.0;4.0;32.0;0.0078125;0.4714285714285714;731.0
8.0;1.0;2048.0;1.220703125E-4;0.47;961.0
9.0;8.0;8192.0;2.0;0.3914285714285714;7750.0
4.0;9.0;8.0;8.0;0.4471428571428571;850.0
4.0;1.0;8.0;1.220703125E-4;0.44857142857142857;629.0
6.0;4.0;128.0;0.0078125;0.47714285714285715;890.0
7.0;3.0;512.0;0.001953125;0.4714285714285714;982.0
8.0;6.0;2048.0;0.125;0.4342857142857143;3124.0
0.0;6.0;0.03125;0.125;0.44;650.0
9.0;1.0;8192.0;1.220703125E-4;0.4785714285714286;1298.0
2.0;9.0;0.5;8.0;0.49142857142857144;743.0
9.0;3.0;8192.0;0.001953125;0.4657142857142857;2930.0
4.0;5.0;8.0;0.03125;0.4685714285714286;654.0
9.0;9.0;8192.0;8.0;0.3871428571428571;3094.0
5.0;6.0;32.0;0.125;0.48428571428571426;819.0
4.0;6.0;8.0;0.125;0.4614285714285714;698.0
7.0;6.0;512.0;0.125;0.46714285714285714;1630.0
8.0;7.0;2048.0;0.5;0.43714285714285717;3536.0
0.0;4.0;0.03125;0.0078125;0.44;627.0
4.0;0.0;8.0;3.0517578125E-5;0.4328571428571429;645.0
1.0;5.0;0.125;0.03125;0.45;636.0
7.0;1.0;512.0;1.220703125E-4;0.4714285714285714;706.0
10.0;0.0;32768.0;3.0517578125E-5;0.47;1240.0
10.0;1.0;32768.0;1.220703125E-4;0.4657142857142857;1861.0
7.0;4.0;512.0;0.0078125;0.4714285714285714;1235.0
3.0;4.0;2.0;0.0078125;0.47;658.0
1.0;6.0;0.125;0.125;0.4657142857142857;717.0
7.0;9.0;512.0;8.0;0.38857142857142857;1785.0
1.0;3.0;0.125;0.001953125;0.44571428571428573;628.0
2.0;1.0;0.5;1.220703125E-4;0.4471428571428571;626.0
8.0;8.0;2048.0;2.0;0.39;4083.0
2.0;5.0;0.5;0.03125;0.4614285714285714;690.0
5.0;9.0;32.0;8.0;0.4228571428571429;1002.0
3.0;5.0;2.0;0.03125;0.4514285714285714;641.0
2.0;2.0;0.5;4.8828125E-4;0.46714285714285714;608.0
5.0;2.0;32.0;4.8828125E-4;0.4714285714285714;694.0
10.0;8.0;32768.0;2.0;0.36428571428571427;14674.0
0.0;9.0;0.03125;8.0;0.42857142857142855;737.0
10.0;4.0;32768.0;0.0078125;0.46714285714285714;10346.0
3.0;6.0;2.0;0.125;0.4657142857142857;638.0
3.0;8.0;2.0;2.0;0.4785714285714286;762.0
6.0;7.0;128.0;0.5;0.45571428571428574;1160.0
6.0;9.0;128.0;8.0;0.4;1266.0
2.0;6.0;0.5;0.125;0.47;613.0
9.0;6.0;8192.0;0.125;0.4057142857142857;6706.0
1.0;8.0;0.125;2.0;0.4642857142857143;692.0
4.0;8.0;8.0;2.0;0.45571428571428574;792.0
10.0;9.0;32768.0;8.0;0.3628571428571429;3497.0
0.0;5.0;0.03125;0.03125;0.42714285714285716;614.0
3.0;9.0;2.0;8.0;0.4514285714285714;789.0
3.0;1.0;2.0;1.220703125E-4;0.4142857142857143;598.0
2.0;8.0;0.5;2.0;0.48142857142857143;674.0
8.0;4.0;2048.0;0.0078125;0.4657142857142857;2044.0
0.0;8.0;0.03125;2.0;0.4685714285714286;678.0
9.0;4.0;8192.0;0.0078125;0.4785714285714286;4054.0
2.0;7.0;0.5;0.5;0.46;603.0
6.0;6.0;128.0;0.125;0.4642857142857143;1081.0
7.0;0.0;512.0;3.0517578125E-5;0.45571428571428574;650.0
9.0;0.0;8192.0;3.0517578125E-5;0.4785714285714286;894.0
4.0;7.0;8.0;0.5;0.48142857142857143;690.0
5.0;7.0;32.0;0.5;0.4714285714285714;834.0
6.0;0.0;128.0;3.0517578125E-5;0.42142857142857143;667.0
0.0;3.0;0.03125;0.001953125;0.4657142857142857;604.0
10.0;3.0;32768.0;0.001953125;0.4757142857142857;5891.0
0.0;2.0;0.03125;4.8828125E-4;0.44;603.0
8.0;2.0;2048.0;4.8828125E-4;0.46;1066.0
5.0;3.0;32.0;0.001953125;0.45285714285714285;634.0
10.0;7.0;32768.0;0.5;0.39285714285714285;14226.0
0.0;0.0;0.03125;3.0517578125E-5;0.45285714285714285;645.0
1.0;9.0;0.125;8.0;0.4542857142857143;736.0
2.0;0.0;0.5;3.0517578125E-5;0.4471428571428571;607.0
4.0;2.0;8.0;4.8828125E-4;0.4542857142857143;680.0
4.0;3.0;8.0;0.001953125;0.45285714285714285;698.0
8.0;0.0;2048.0;3.0517578125E-5;0.47;664.0
3.0;3.0;2.0;0.001953125;0.43;645.0
6.0;5.0;128.0;0.03125;0.46714285714285714;1008.0
7.0;8.0;512.0;2.0;0.4185714285714286;2059.0
1.0;2.0;0.125;4.8828125E-4;0.45571428571428574;638.0
5.0;8.0;32.0;2.0;0.4442857142857143;880.0
0.0;7.0;0.03125;0.5;0.4642857142857143;656.0
8.0;9.0;2048.0;8.0;0.38;2348.0
3.0;7.0;2.0;0.5;0.46714285714285714;631.0
2.0;3.0;0.5;0.001953125;0.45571428571428574;645.0
2.0;4.0;0.5;0.0078125;0.45;655.0
6.0;3.0;128.0;0.001953125;0.4614285714285714;754.0
6.0;8.0;128.0;2.0;0.4471428571428571;1251.0
7.0;5.0;512.0;0.03125;0.4657142857142857;1505.0
10.0;2.0;32768.0;4.8828125E-4;0.46714285714285714;2910.0
1.0;4.0;0.125;0.0078125;0.42428571428571427;643.0
5.0;1.0;32.0;1.220703125E-4;0.43714285714285717;697.0
9.0;2.0;8192.0;4.8828125E-4;0.46714285714285714;1746.0
3.0;0.0;2.0;3.0517578125E-5;0.4585714285714286;641.0
3.0;2.0;2.0;4.8828125E-4;0.4514285714285714;680.0
1.0;1.0;0.125;1.220703125E-4;0.4042857142857143;623.0
5.0;0.0;32.0;3.0517578125E-5;0.4357142857142857;635.0
7.0;2.0;512.0;4.8828125E-4;0.47285714285714286;764.0
0.0;1.0;0.03125;1.220703125E-4;0.44285714285714284;606.0
8.0;5.0;2048.0;0.03125;0.44857142857142857;2342.0
